ASS_NR;IFOPT
1061;de:05382:56180
1062;de:05122:13710
1063;de:05362:83268
1064;de:05362:83358
1065;de:05362:83357
1066;de:05362:83355
1067;de:05362:83366
1068;de:05362:83365
1069;de:05382:54542
1070;de:05382:54541
1071;de:05382:54439
1072;de:05382:54438
1073;de:05382:54437
1074;de:05382:54436
1075;de:05162:20276
1076;de:05382:54434
1077;de:05382:54433
1078;de:05382:54431
1079;de:05382:54435
1080;de:05382:54132
1081;de:05382:54131
1082;de:05382:54236
1083;de:05374:45635
1084;de:05162:20385
1086;de:05382:54232
1087;de:05362:83367
1088;de:05362:83364
1089;de:05362:83454
1090;de:05362:83453
1091;de:05362:83455
1092;de:05362:83966
1093;de:05362:83965
1094;de:05362:83964
1095;de:05120:12003
1096;de:05122:13719
1097;de:05362:83661
1098;de:05362:83658
1099;de:05362:83659
1100;de:05122:13001
1102;de:05314:61197
1103;de:05314:61140
1104;de:05314:61114
1105;de:05366:79247
1106;de:05314:61122
1107;de:05366:75158
1108;de:05162:20011
1109;de:05366:73535
1110;de:05314:61124
1111;de:05314:61192
1112;de:05314:61194
1113;de:05314:61193
1114;de:05314:61195
1115;de:05314:61115
1116;de:05314:65130
1117;de:05314:66857
1119;de:05366:79637
1121;de:05362:86149
1122;de:05162:20138
1123;de:05314:61257
1124;de:05314:61256
1125;de:05314:65343
1126;de:05314:65355
1127;de:05314:65356
1128;de:05314:65358
1129;de:05362:83656
1130;de:05314:61319
1131;de:05314:61318
1132;de:05314:61317
1133;de:05314:62247
1134;de:05314:61358
1135;de:05314:61359
1136;de:05314:62248
1137;de:05314:62253
1138;de:05314:62280
1139;de:05362:83655
1140;de:05314:61569
1141;de:05314:61468
1142;de:05314:61162
1143;de:05314:61120
1144;de:05314:61463
1145;de:05314:61466
1146;de:05314:61465
1147;de:05362:83975
1148;de:05362:83971
1149;de:05362:83970
1150;de:05314:61676
1151;de:05314:61675
1152;de:05314:61674
1153;de:05314:61673
1154;de:05362:83969
1155;de:05362:83968
1156;de:05362:83967
1157;de:05362:83757
1158;de:05362:83756
1160;de:05314:61889
1161;de:05314:61891
1162;de:05314:61825
1163;de:05162:20005
1164;de:05362:83858
1165;de:05362:83857
1166;de:05362:83856
1167;de:05362:83855
1168;de:05362:83171
1169;de:05362:83172
1170;de:05120:12005
1171;de:05314:64765
